Požymis              , Minimumas, 1-as kvartilis, Mediana  , Vidurkis , 3-as kvartilis, Maksimumas, Std. nuokrypis, Neegzistuojančios reikšmės
Log_X_Index          , 0.6990   , 1.0000        , 1.0965   , 1.1485   , 1.2729        ,     2.7235,         0.2403,                          0
Log_Y_Index          , 0.6990   , 1.0414        , 1.1461   , 1.2061   , 1.3222        ,     2.1399,         0.2362,                          0
Empty_Index          , 0.0781   , 0.2727        , 0.3333   , 0.3715   , 0.4444        ,     1.6271,         0.1506,                          0
Square_Index         , 0.0680   , 0.5629        , 0.7500   , 0.7094   , 0.8889        ,     1.0000,         0.2156,                          0
Length_of_Conveyer   , 1227.0000, 1362.0000     , 1624.0000, 1522.9353, 1690.0000     ,  1794.0000,       161.5589,                          0
Steel_Plate_Thickness, 40.0000  , 60.0000       , 70.0000  , 76.9303  , 80.0000       ,   290.0000,        38.0485,                          0
Edges_Index          , 0.0036   , 0.2227        , 0.4444   , 0.4688   , 0.7220        ,     0.9923,         0.2911,                          2
Orientation_Index    , -0.9319  , -0.1250       , 0.1000   , 0.0966   , 0.3522        ,     0.8108,         0.3490,                          0
LogOfAreas           , 1.3979   , 1.8935        , 2.0810   , 2.1429   , 2.2956        ,     3.9238,         0.3625,                          0
Luminosity_Index     , -0.5971  , -0.2017       , -0.1422  , -0.1493  , -0.0992       ,     0.1207,         0.0934,                          7
