Požymis              , Minimumas, 1-as kvartilis, Mediana  , Vidurkis , 3-as kvartilis, Maksimumas, Std. nuokrypis, Neegzistuojančios reikšmės
Log_X_Index          , 0.4771   , 1.0000        , 1.1461   , 1.2365   , 1.3802        ,     3.0741,         0.3422,                          0
Log_Y_Index          , 0.3010   , 1.0414        , 1.2553   , 1.3004   , 1.4914        ,     2.6149,         0.4079,                          0
Empty_Index          , 0.0368   , 0.3214        , 0.4242   , 0.4302   , 0.5256        ,     2.4297,         0.1768,                          0
Square_Index         , 0.0090   , 0.3125        , 0.5333   , 0.5364   , 0.7917        ,     1.0000,         0.2804,                          0
Length_of_Conveyer   , 1227.0000, 1360.0000     , 1372.0000, 1485.8047, 1687.0000     ,  1715.0000,       154.2521,                          0
Steel_Plate_Thickness, 40.0000  , 40.0000       , 70.0000  , 102.5698 , 130.0000      ,   300.0000,        73.9043,                          0
Edges_Index          , 0.0000   , 0.1103        , 0.3127   , 0.3703   , 0.6194        ,     0.9952,         0.2886,                          9
Orientation_Index    , -0.9910  , -0.2727       , 0.1765   , 0.1097   , 0.5581        ,     0.9467,         0.5309,                          0
LogOfAreas           , 1.1761   , 1.9085        , 2.1614   , 2.2827   , 2.4885        ,     4.5721,         0.5217,                          0
Luminosity_Index     , -0.8850  , -0.2031       , -0.1188  , -0.1233  , -0.0377       ,     0.6421,         0.1668,                          4
