Požymis              , Minimumas, 1-as kvartilis, Mediana  , Vidurkis , 3-as kvartilis, Maksimumas, Std. nuokrypis, Neegzistuojančios reikšmės
Log_X_Index          , 0.4771   , 1.0000        , 1.1461   , 1.2044   , 1.3424        ,     3.0741,         0.3112,                          0
Log_Y_Index          , 0.3010   , 1.0414        , 1.2041   , 1.2653   , 1.4314        ,     2.6149,         0.3562,                          0
Empty_Index          , 0.0368   , 0.2917        , 0.3929   , 0.4083   , 0.5054        ,     2.4297,         0.1698,                          0
Square_Index         , 0.0090   , 0.3846        , 0.6250   , 0.6007   , 0.8444        ,     1.0000,         0.2714,                          0
Length_of_Conveyer   , 1227.0000, 1360.0000     , 1374.0000, 1499.8520, 1687.0000     ,  1794.0000,       158.0112,                          0
Steel_Plate_Thickness, 40.0000  , 50.0000       , 70.0000  , 92.9651  , 100.0000      ,   300.0000,        64.0799,                          0
Edges_Index          , 0.0000   , 0.1324        , 0.3808   , 0.4071   , 0.6568        ,     0.9952,         0.2933,                         11
Orientation_Index    , -0.9910  , -0.1958       , 0.1277   , 0.1040   , 0.4683        ,     0.9467,         0.4717,                          0
LogOfAreas           , 1.1761   , 1.9031        , 2.1287   , 2.2313   , 2.4220        ,     4.5721,         0.4730,                          0
Luminosity_Index     , -0.8850  , -0.2022       , -0.1279  , -0.1327  , -0.0640       ,     0.6421,         0.1445,                         11
