Požymis,Klasė,Paprastų_išskirčių,Ekstremalių_išskirčių
Log_X_Index,Bumps,8,2
Log_X_Index,Other_Faults,21,7
Log_Y_Index,Bumps,11,0
Log_Y_Index,Other_Faults,37,0
Empty_Index,Bumps,8,0
Empty_Index,Other_Faults,2,0
Square_Index,Bumps,0,0
Square_Index,Other_Faults,0,0
Length_of_Conveyer,Bumps,0,0
Length_of_Conveyer,Other_Faults,0,0
Steel_Plate_Thickness,Bumps,4,31
Steel_Plate_Thickness,Other_Faults,43,0
Edges_Index,Bumps,0,0
Edges_Index,Other_Faults,0,0
Orientation_Index,Bumps,1,0
Orientation_Index,Other_Faults,0,0
LogOfAreas,Bumps,14,2
LogOfAreas,Other_Faults,29,2
Luminosity_Index,Bumps,10,2
Luminosity_Index,Other_Faults,36,7
