,Log_X_Index,Log_Y_Index,Empty_Index,Square_Index,Length_of_Conveyer,Steel_Plate_Thickness,Edges_Index,Orientation_Index,LogOfAreas,Luminosity_Index,class
Log_X_Index,0,1.63e-10,3.77e-69,0.00203,0.427,0.107,0.581,8.65e-64,3.61e-98,0.000379,0.00289
Log_Y_Index,1.63e-10,0,1.72e-25,2.29e-21,0.00335,0.0226,1.92e-12,1.27e-142,9.01e-268,3.8e-11,0.000891
Empty_Index,3.77e-69,1.72e-25,0,5.81e-14,4.47e-06,0.0229,0.00119,0.0026,1.95e-23,3.1e-14,5.57e-11
Square_Index,0.00203,2.29e-21,5.81e-14,0,2.35e-05,0.00125,2.31e-11,8.23e-21,1.15e-15,0.00234,7.28e-19
Length_of_Conveyer,0.427,0.00335,4.47e-06,2.35e-05,0,9.27e-07,0.832,0.262,0.0182,3.43e-08,0.00806
Steel_Plate_Thickness,0.107,0.0226,0.0229,0.00125,9.27e-07,0,0.00224,0.000254,0.809,1.68e-07,0.00388
Edges_Index,0.581,1.92e-12,0.00119,2.31e-11,0.832,0.00224,0,4.92e-12,9.13e-05,0.000262,1.09e-07
Orientation_Index,8.65e-64,1.27e-142,0.0026,8.23e-21,0.262,0.000254,4.92e-12,0,6.61e-21,1.28e-17,0.138
LogOfAreas,3.61e-98,9.01e-268,1.95e-23,1.15e-15,0.0182,0.809,9.13e-05,6.61e-21,0,3.86e-08,0.01
Luminosity_Index,0.000379,3.8e-11,3.1e-14,0.00234,3.43e-08,1.68e-07,0.000262,1.28e-17,3.86e-08,0,0.00012
class,0.00289,0.000891,5.57e-11,7.28e-19,0.00806,0.00388,1.09e-07,0.138,0.01,0.00012,0
