,X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,class
X_Minimum,0,0,0.00102,0.00102,0.000187,0.00157,0.00012,1.32e-07,1.41e-05,1.41e-10,0.00226,0.391,0.00914,0.0805,6.58e-07,0.00488,0.0917,0.0889,0.599,0.00019,0.0278,0.00154,0.0826,8.9e-10,0.000228,0.000719
X_Maximum,0,0,0.000774,0.000774,0.0011,0.0118,0.000523,1.67e-06,1.56e-05,3.35e-10,0.00266,0.343,0.0105,0.182,2.05e-06,0.0374,0.084,0.268,0.361,0.00112,0.146,0.0024,0.0302,1.56e-09,0.00158,0.00104
Y_Minimum,0.00102,0.000774,0,0,0.0178,0.109,1.12e-05,0.000726,0.000554,0.0321,0.376,2.83e-17,0.0493,0.00641,0.000767,0.358,1.95e-07,0.103,0.00639,0.0134,0.214,4.75e-05,1.5e-05,0.0177,0.00615,6.93e-16
Y_Maximum,0.00102,0.000774,0,0,0.0178,0.11,1.13e-05,0.000728,0.000554,0.0321,0.376,2.84e-17,0.0494,0.00641,0.000767,0.358,1.96e-07,0.103,0.0064,0.0134,0.214,4.77e-05,1.5e-05,0.0177,0.00616,6.96e-16
Pixels_Areas,0.000187,0.0011,0.0178,0.0178,0,9.95e-180,0,0,1.85e-09,0.00789,0.0101,0.978,5.37e-05,1.45e-23,1.88e-15,1.16e-94,2.91e-60,1.65e-16,5.17e-09,0,8.45e-95,1.55e-261,9.32e-21,1.09e-07,0,0.00551
X_Perimeter,0.00157,0.0118,0.109,0.11,9.95e-180,0,1.4e-172,2.11e-205,0.0105,0.000132,0.00323,0.841,0.008,1.15e-113,1.35e-29,5.84e-250,2.88e-76,5.3e-118,6.13e-07,2.78e-187,4.73e-249,1.76e-77,0.00729,0.00224,1.06e-276,7.2e-08
Y_Perimeter,0.00012,0.000523,1.12e-05,1.13e-05,0,1.4e-172,0,0,0.428,0.0514,1.86e-06,0.0946,2.09e-10,6.03e-68,3.12e-40,4.32e-52,1.11e-152,1.04e-24,4.48e-23,0,8.09e-47,0,1.33e-53,0.0208,0,3.84e-08
Sum_of_Luminosity,1.32e-07,1.67e-06,0.000726,0.000728,0,2.11e-205,0,0,0.41,0.00602,0.000383,0.598,0.00286,2.52e-30,3.83e-18,1.77e-110,5.36e-63,1.97e-24,1.07e-06,0,6.71e-108,1.01e-234,4.83e-16,0.679,0,0.00183
Minimum_of_Luminosity,1.41e-05,1.56e-05,0.000554,0.000554,1.85e-09,0.0105,0.428,0.41,0,1.97e-127,2.27e-15,1.42e-07,0.0212,8.6e-31,0.000603,0.00439,0.00105,3.09e-30,1.48e-10,4.2e-10,0.256,3.78e-08,1.27e-10,0,0.0109,1.15e-07
Maximum_of_Luminosity,1.41e-10,3.35e-10,0.0321,0.0321,0.00789,0.000132,0.0514,0.00602,1.97e-127,0,0.0025,0.0188,5.96e-06,0.000237,0.143,2.49e-10,0.0589,9.18e-18,7.22e-14,0.00777,6.61e-09,1.03e-07,4.3e-20,3.73e-304,0.263,0.334
Length_of_Conveyer,0.00226,0.00266,0.376,0.376,0.0101,0.00323,1.86e-06,0.000383,2.27e-15,0.0025,0,9.27e-07,0.832,4.47e-06,2.35e-05,9.72e-11,0.000261,0.000523,0.995,0.0182,0.427,0.00335,0.262,3.43e-08,0.000544,0.00806
Steel_Plate_Thickness,0.391,0.343,2.83e-17,2.84e-17,0.978,0.841,0.0946,0.598,1.42e-07,0.0188,9.27e-07,0,0.00224,0.0229,0.00125,0.00902,0.00325,0.844,0.018,0.809,0.107,0.0226,0.000254,1.68e-07,0.503,0.00388
Edges_Index,0.00914,0.0105,0.0493,0.0494,5.37e-05,0.008,2.09e-10,0.00286,0.0212,5.96e-06,0.832,0.00224,0,0.00119,2.31e-11,0.532,2.78e-08,0.105,1.66e-07,9.13e-05,0.581,1.92e-12,4.92e-12,0.000262,4.57e-05,1.09e-07
Empty_Index,0.0805,0.182,0.00641,0.00641,1.45e-23,1.15e-113,6.03e-68,2.52e-30,8.6e-31,0.000237,4.47e-06,0.0229,0.00119,0,5.81e-14,1.05e-76,8.95e-47,1.32e-96,8.76e-08,1.95e-23,3.77e-69,1.72e-25,0.0026,3.1e-14,4.66e-78,5.57e-11
Square_Index,6.58e-07,2.05e-06,0.000767,0.000767,1.88e-15,1.35e-29,3.12e-40,3.83e-18,0.000603,0.143,2.35e-05,0.00125,2.31e-11,5.81e-14,0,0.000134,4.51e-24,7.68e-14,2.44e-05,1.15e-15,0.00203,2.29e-21,8.23e-21,0.00234,1.32e-18,7.28e-19
Outside_X_Index,0.00488,0.0374,0.358,0.358,1.16e-94,5.84e-250,4.32e-52,1.77e-110,0.00439,2.49e-10,9.72e-11,0.00902,0.532,1.05e-76,0.000134,0,0.0319,2.75e-158,1.13e-49,2.03e-97,0,2.34e-12,2.33e-56,2.29e-06,5.74e-139,0.000457
