,Log_X_Index,Log_Y_Index,Empty_Index,Square_Index,Length_of_Conveyer,Steel_Plate_Thickness,Edges_Index,Orientation_Index,LogOfAreas,Luminosity_Index,class
Log_X_Index,1.0000,0.1982,0.5113,-0.0964,-0.0249,-0.0505,0.0173,-0.4933,0.5932,0.1110,0.0931
Log_Y_Index,0.1982,1.0000,0.3183,-0.2908,-0.0917,0.0713,-0.2178,0.6853,0.8357,-0.2049,0.1038
Empty_Index,0.5113,0.3183,1.0000,-0.2321,-0.1430,0.0712,-0.1013,-0.0941,0.3050,0.2345,0.2031
Square_Index,-0.0964,-0.2908,-0.2321,1.0000,0.1319,-0.1008,0.2071,-0.2869,-0.2470,-0.0951,-0.2725
Length_of_Conveyer,-0.0249,-0.0917,-0.1430,0.1319,1.0000,0.1528,0.0066,-0.0351,-0.0739,-0.1715,-0.0828
Steel_Plate_Thickness,-0.0505,0.0713,0.0712,-0.1008,0.1528,1.0000,-0.0955,0.1142,0.0076,-0.1627,0.0903
Edges_Index,0.0173,-0.2178,-0.1013,0.2071,0.0066,-0.0955,1.0000,-0.2138,-0.1221,0.1139,-0.1652
Orientation_Index,-0.4933,0.6853,-0.0941,-0.2869,-0.0351,0.1142,-0.2138,1.0000,0.2875,-0.2629,0.0464
LogOfAreas,0.5932,0.8357,0.3050,-0.2470,-0.0739,0.0076,-0.1221,0.2875,1.0000,-0.1709,0.0805
Luminosity_Index,0.1110,-0.2049,0.2345,-0.0951,-0.1715,-0.1627,0.1139,-0.2629,-0.1709,1.0000,0.1200
class,0.0931,0.1038,0.2031,-0.2725,-0.0828,0.0903,-0.1652,0.0464,0.0805,0.1200,1.0000
