,X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,class
X_Minimum,1.0000,0.9994,0.1026,0.1026,-0.1166,-0.0988,-0.1200,-0.1641,-0.1354,-0.1989,0.0954,-0.0268,0.0815,-0.0547,0.1548,-0.0880,0.0528,0.0532,-0.0165,-0.1165,-0.0688,-0.0989,-0.0543,-0.1902,-0.1151,-0.1056
X_Maximum,0.9994,1.0000,0.1050,0.1050,-0.1019,-0.0787,-0.1083,-0.1492,-0.1347,-0.1948,0.0939,-0.0297,0.0800,-0.0418,0.1479,-0.0651,0.0541,0.0346,-0.0286,-0.1018,-0.0455,-0.0949,-0.0678,-0.1874,-0.0987,-0.1024
Y_Minimum,0.1026,0.1050,1.0000,1.0000,-0.0741,-0.0501,-0.1369,-0.1055,-0.1078,-0.0670,0.0277,-0.2602,0.0615,-0.0852,0.1051,0.0288,0.1619,0.0510,-0.0853,-0.0774,0.0389,-0.1269,-0.1350,-0.0742,-0.0856,-0.2488
Y_Maximum,0.1026,0.1050,1.0000,1.0000,-0.0741,-0.0501,-0.1369,-0.1055,-0.1078,-0.0670,0.0277,-0.2602,0.0615,-0.0852,0.1051,0.0288,0.1619,0.0510,-0.0852,-0.0773,0.0389,-0.1268,-0.1349,-0.0742,-0.0856,-0.2488
Pixels_Areas,-0.1166,-0.1019,-0.0741,-0.0741,1.0000,0.7425,0.8830,0.9651,-0.1866,-0.0831,-0.0804,-0.0009,-0.1260,0.3058,-0.2451,0.5845,-0.4809,-0.2540,0.1814,0.9908,0.5848,0.8306,0.2865,-0.1652,0.9497,0.0868
X_Perimeter,-0.0988,-0.0787,-0.0501,-0.0501,0.7425,1.0000,0.7326,0.7749,0.0800,0.1193,-0.0920,0.0063,-0.0829,0.6290,-0.3430,0.8205,-0.5336,-0.6382,-0.1552,0.7526,0.8197,0.5372,-0.0839,0.0955,0.8428,0.1675
Y_Perimeter,-0.1200,-0.1083,-0.1369,-0.1369,0.8830,0.7326,1.0000,0.8824,-0.0248,-0.0610,-0.1485,0.0523,-0.1971,0.5073,-0.3985,0.4500,-0.7022,-0.3133,0.3025,0.8888,0.4282,0.9136,0.4559,-0.0723,0.9244,0.1709
Sum_of_Luminosity,-0.1641,-0.1492,-0.1055,-0.1055,0.9651,0.7749,0.8824,1.0000,-0.0258,0.0859,-0.1109,-0.0165,-0.0932,0.3472,-0.2670,0.6220,-0.4906,-0.3115,0.1519,0.9736,0.6162,0.8062,0.2501,0.0130,0.9488,0.0974
Minimum_of_Luminosity,-0.1354,-0.1347,-0.1078,-0.1078,-0.1866,0.0800,-0.0248,-0.0258,1.0000,0.6573,-0.2444,-0.1637,0.0721,0.3498,-0.1071,0.0890,-0.1024,-0.3467,-0.1987,-0.1938,0.0355,-0.1710,-0.1994,0.9031,-0.0796,0.1649
Maximum_of_Luminosity,-0.1989,-0.1948,-0.0670,-0.0670,-0.0831,0.1193,-0.0610,0.0859,0.6573,1.0000,-0.0945,-0.0735,0.1411,0.1147,-0.0458,0.1962,0.0591,-0.2641,-0.2312,-0.0832,0.1802,-0.1655,-0.2817,0.8626,-0.0351,0.0303
Length_of_Conveyer,0.0954,0.0939,0.0277,0.0277,-0.0804,-0.0920,-0.1485,-0.1109,-0.2444,-0.0945,1.0000,0.1528,0.0066,-0.1430,0.1319,-0.2006,0.1140,0.1083,-0.0002,-0.0739,-0.0249,-0.0917,-0.0351,-0.1715,-0.1080,-0.0828
Steel_Plate_Thickness,-0.0268,-0.0297,-0.2602,-0.2602,-0.0009,0.0063,0.0523,-0.0165,-0.1637,-0.0735,0.1528,1.0000,-0.0955,0.0712,-0.1008,-0.0816,-0.0920,0.0062,0.0740,0.0076,-0.0505,0.0713,0.1142,-0.1627,0.0210,0.0903
Edges_Index,0.0815,0.0800,0.0615,0.0615,-0.1260,-0.0829,-0.1971,-0.0932,0.0721,0.1411,0.0066,-0.0955,1.0000,-0.1013,0.2071,0.0196,0.1727,0.0508,-0.1628,-0.1221,0.0173,-0.2178,-0.2138,0.1139,-0.1272,-0.1652
Empty_Index,-0.0547,-0.0418,-0.0852,-0.0852,0.3058,0.6290,0.5073,0.3472,0.3498,0.1147,-0.1430,0.0712,-0.1013,1.0000,-0.2321,0.5349,-0.4280,-0.5893,-0.1664,0.3050,0.5113,0.3183,-0.0941,0.2345,0.5389,0.2031
Square_Index,0.1548,0.1479,0.1051,0.1051,-0.2451,-0.3430,-0.3985,-0.2670,-0.1071,-0.0458,0.1319,-0.1008,0.2071,-0.2321,1.0000,-0.1192,0.3091,0.2310,-0.1316,-0.2470,-0.0964,-0.2908,-0.2869,-0.0951,-0.2706,-0.2725
Outside_X_Index,-0.0880,-0.0651,0.0288,0.0288,0.5845,0.8205,0.4500,0.6220,0.0890,0.1962,-0.2006,-0.0816,0.0196,0.5349,-0.1192,1.0000,-0.0671,-0.7112,-0.4402,0.5914,0.9772,0.2170,-0.4665,0.1472,0.6788,0.1094
Edges_X_Index,0.0528,0.0541,0.1619,0.1619,-0.4809,-0.5336,-0.7022,-0.4906,-0.1024,0.0591,0.1140,-0.0920,0.1727,-0.4280,0.3091,-0.0671,1.0000,0.1109,-0.4216,-0.4862,-0.0371,-0.7160,-0.5828,0.0050,-0.5443,-0.1159
Edges_Y_Index,0.0532,0.0346,0.0510,0.0510,-0.2540,-0.6382,-0.3133,-0.3115,-0.3467,-0.2641,0.1083,0.0062,0.0508,-0.5893,0.2310,-0.7112,0.1109,1.0000,0.4776,-0.2524,-0.7021,-0.0008,0.4806,-0.3344,-0.3881,-0.2502
Outside_Global_Index,-0.0165,-0.0286,-0.0853,-0.0852,0.1814,-0.1552,0.3025,0.1519,-0.1987,-0.2312,-0.0002,0.0740,-0.1628,-0.1664,-0.1316,-0.4402,-0.4216,0.4776,1.0000,0.1858,-0.4586,0.5207,0.8725,-0.2299,0.1057,-0.0200
