,Log_X_Index,Log_Y_Index,Empty_Index,Square_Index,Length_of_Conveyer,Steel_Plate_Thickness,Edges_Index,Orientation_Index,LogOfAreas,Luminosity_Index
Log_X_Index,0,4.92e-18,7.88e-78,1.53e-07,0.126,0.139,0.917,7.74e-54,1.14e-122,0.00399
Log_Y_Index,4.92e-18,0,1.29e-32,3.63e-27,0.000429,0.022,2.19e-14,6.77e-137,1.34e-286,1.81e-12
Empty_Index,7.88e-78,1.29e-32,0,2.41e-16,3.61e-07,0.0206,0.00066,0.0172,3.69e-30,5.25e-13
Square_Index,1.53e-07,3.63e-27,2.41e-16,0,7.75e-07,0.0011,6.95e-13,8.84e-20,6.04e-24,0.0148
Length_of_Conveyer,0.126,0.000429,3.61e-07,7.75e-07,0,1.42e-05,0.808,0.258,0.002,8.31e-07
Steel_Plate_Thickness,0.139,0.022,0.0206,0.0011,1.42e-05,0,0.00474,0.000188,0.755,2.55e-08
Edges_Index,0.917,2.19e-14,0.00066,6.95e-13,0.808,0.00474,0,3.55e-13,5.72e-06,4.42e-05
Orientation_Index,7.74e-54,6.77e-137,0.0172,8.84e-20,0.258,0.000188,3.55e-13,0,1.38e-19,5.31e-18
LogOfAreas,1.14e-122,1.34e-286,3.69e-30,6.04e-24,0.002,0.755,5.72e-06,1.38e-19,0,4.32e-09
Luminosity_Index,0.00399,1.81e-12,5.25e-13,0.0148,8.31e-07,2.55e-08,4.42e-05,5.31e-18,4.32e-09,0
