,Log_X_Index,Log_Y_Index,Empty_Index,Square_Index,Length_of_Conveyer,Steel_Plate_Thickness,Edges_Index,Orientation_Index,LogOfAreas,Luminosity_Index
Log_X_Index,1.0000,0.2602,0.5277,-0.1596,-0.0468,-0.0452,-0.0032,-0.4474,0.6364,0.0879
Log_Y_Index,0.2602,1.0000,0.3521,-0.3214,-0.1074,0.0700,-0.2305,0.6636,0.8404,-0.2131
Empty_Index,0.5277,0.3521,1.0000,-0.2469,-0.1547,0.0707,-0.1039,-0.0728,0.3387,0.2182
Square_Index,-0.1596,-0.3214,-0.2469,1.0000,0.1503,-0.0996,0.2170,-0.2732,-0.3015,-0.0744
Length_of_Conveyer,-0.0468,-0.1074,-0.1547,0.1503,1.0000,0.1322,0.0074,-0.0346,-0.0943,-0.1499
Steel_Plate_Thickness,-0.0452,0.0700,0.0707,-0.0996,0.1322,1.0000,-0.0862,0.1139,0.0095,-0.1692
Edges_Index,-0.0032,-0.2305,-0.1039,0.2170,0.0074,-0.0862,1.0000,-0.2197,-0.1381,0.1245
Orientation_Index,-0.4474,0.6636,-0.0728,-0.2732,-0.0346,0.1139,-0.2197,1.0000,0.2717,-0.2600
LogOfAreas,0.6364,0.8404,0.3387,-0.3015,-0.0943,0.0095,-0.1381,0.2717,1.0000,-0.1782
Luminosity_Index,0.0879,-0.2131,0.2182,-0.0744,-0.1499,-0.1692,0.1245,-0.2600,-0.1782,1.0000
