Požymis              , Minimumas, 1-as kvartilis, Mediana  , Vidurkis , 3-as kvartilis, Maksimumas, Std. nuokrypis, Neegzistuojančios reikšmės
Log_X_Index          , 0.4771   , 1.0000        , 1.1461   , 1.2354   , 1.3802        ,     3.0741,         0.3384,                          0
Log_Y_Index          , 0.3010   , 1.0414        , 1.2553   , 1.3024   , 1.4914        ,     2.6149,         0.4088,                          0
Empty_Index          , 0.0368   , 0.3214        , 0.4254   , 0.4306   , 0.5257        ,     2.4297,         0.1775,                          0
Square_Index         , 0.0090   , 0.3103        , 0.5333   , 0.5361   , 0.7917        ,     1.0000,         0.2804,                          0
Length_of_Conveyer   , 1227.0000, 1360.0000     , 1372.0000, 1485.3670, 1687.0000     ,  1715.0000,       154.1074,                          0
Steel_Plate_Thickness, 40.0000  , 40.0000       , 70.0000  , 102.6003 , 130.0000      ,   300.0000,        73.8523,                          0
Edges_Index          , 0.0000   , 0.1099        , 0.3127   , 0.3704   , 0.6198        ,     0.9952,         0.2895,                          9
Orientation_Index    , -0.9910  , -0.2632       , 0.1818   , 0.1131   , 0.5614        ,     0.9467,         0.5304,                          0
LogOfAreas           , 1.1761   , 1.9085        , 2.1644   , 2.2833   , 2.4885        ,     4.5721,         0.5186,                          0
Luminosity_Index     , -0.8850  , -0.2035       , -0.1188  , -0.1236  , -0.0377       ,     0.6421,         0.1675,                          4
