Požymis              , Minimumas, 1-as kvartilis, Mediana  , Vidurkis , 3-as kvartilis, Maksimumas, Std. nuokrypis, Neegzistuojančios reikšmės
Log_X_Index          , 0.4771   , 1.0000        , 1.1461   , 1.2029   , 1.3424        ,     3.0741,         0.3082,                          0
Log_Y_Index          , 0.3010   , 1.0414        , 1.2305   , 1.2664   , 1.4314        ,     2.6149,         0.3572,                          0
Empty_Index          , 0.0368   , 0.2917        , 0.3929   , 0.4085   , 0.5071        ,     2.4297,         0.1703,                          0
Square_Index         , 0.0090   , 0.3853        , 0.6250   , 0.6009   , 0.8429        ,     1.0000,         0.2713,                          0
Length_of_Conveyer   , 1227.0000, 1360.0000     , 1374.0000, 1499.4158, 1687.0000     ,  1794.0000,       157.9112,                          0
Steel_Plate_Thickness, 40.0000  , 45.0000       , 70.0000  , 93.0009  , 100.0000      ,   300.0000,        64.0905,                          0
Edges_Index          , 0.0000   , 0.1324        , 0.3807   , 0.4074   , 0.6569        ,     0.9952,         0.2938,                         11
Orientation_Index    , -0.9910  , -0.1905       , 0.1333   , 0.1069   , 0.4697        ,     0.9467,         0.4707,                          0
LogOfAreas           , 1.1761   , 1.9031        , 2.1271   , 2.2308   , 2.4208        ,     4.5721,         0.4711,                          0
Luminosity_Index     , -0.8850  , -0.2034       , -0.1275  , -0.1331  , -0.0642       ,     0.6421,         0.1450,                         11
